,u,i,ts,label,idx
0,1,2,0,0,1
1,3,4,114878,0,2
2,5,2,373430,0,3
3,6,7,398658,0,4
4,8,7,398795,0,5
5,9,10,399442,0,6
6,9,11,399492,0,7
7,12,13,400227,0,8
8,9,14,400793,0,9
9,9,15,400863,0,10
10,9,16,400934,0,11
11,9,17,401192,0,12
12,9,14,401367,0,13
13,9,18,401599,0,14
14,19,18,402062,0,15
15,20,21,403983,0,16
16,19,22,409113,0,17
17,8,23,409282,0,18
18,9,24,409684,0,19
19,9,22,409695,0,20
20,25,21,426128,0,21
21,26,7,440164,0,22
22,27,28,449279,0,23
23,29,25,463122,0,24
24,30,31,476545,0,25
25,30,31,476550,0,26
26,30,31,476552,0,27
27,30,31,476555,0,28
28,32,33,477062,0,29
29,34,35,484569,0,30
30,34,33,484757,0,31
31,36,37,489988,0,32
32,38,39,497888,0,33
33,36,40,498596,0,34
34,41,15,499344,0,35
35,41,11,499393,0,36
36,41,14,499501,0,37
37,41,13,499535,0,38
38,41,39,500481,0,39
39,41,42,533250,0,40
40,41,43,535383,0,41
41,9,40,542739,0,42
42,44,45,544507,0,43
43,46,22,546744,0,44
44,44,46,547261,0,45
45,47,46,547547,0,46
46,48,46,548522,0,47
47,9,49,555594,0,48
48,36,50,556754,0,49
49,44,51,556790,0,50
50,32,52,557095,0,51
51,36,32,557161,0,52
52,53,54,557434,0,53
53,36,55,557584,0,54
54,56,57,557587,0,55
55,36,32,557724,0,56
56,36,58,557804,0,57
57,44,59,557959,0,58
58,51,58,557973,0,59
59,44,14,558111,0,60
60,36,56,558415,0,61
61,36,60,558756,0,62
62,56,61,559107,0,63
63,62,50,559448,0,64
64,36,60,559826,0,65
65,32,59,560494,0,66
66,36,60,560911,0,67
67,36,50,560952,0,68
68,41,63,561658,0,69
69,41,64,561707,0,70
70,41,65,561721,0,71
71,41,56,561739,0,72
72,41,61,561800,0,73
73,41,43,561817,0,74
74,41,52,561846,0,75
75,41,58,561877,0,76
76,41,59,562107,0,77
77,9,64,562163,0,78
78,9,58,562218,0,79
79,12,66,562258,0,80
80,32,58,562305,0,81
81,12,66,562307,0,82
82,67,32,562553,0,83
83,41,32,562610,0,84
84,67,32,562688,0,85
85,32,68,562720,0,86
86,68,56,562889,0,87
87,67,32,562907,0,88
88,67,32,563038,0,89
89,68,61,563057,0,90
90,67,32,563118,0,91
91,67,8,563735,0,92
92,69,67,564429,0,93
93,70,51,566206,0,94
94,44,50,566328,0,95
95,67,32,567393,0,96
96,71,58,567444,0,97
97,71,72,567520,0,98
98,51,58,567548,0,99
99,72,71,568288,0,100
100,73,74,568688,0,101
101,74,73,568758,0,102
102,73,74,568952,0,103
103,74,73,569011,0,104
104,34,58,569153,0,105
105,44,75,569156,0,106
106,44,75,569280,0,107
107,9,58,569333,0,108
108,73,74,569371,0,109
109,9,76,569378,0,110
110,32,77,570365,0,111
111,41,76,571145,0,112
112,41,78,571161,0,113
113,79,48,571533,0,114
114,79,63,571574,0,115
115,41,80,571657,0,116
116,79,58,571703,0,117
117,41,81,571711,0,118
118,79,70,571986,0,119
119,19,82,572410,0,120
120,19,72,572483,0,121
121,12,32,572505,0,122
122,19,64,572949,0,123
123,19,58,573069,0,124
124,19,58,573074,0,125
125,19,58,573076,0,126
126,19,52,573427,0,127
127,83,59,573499,0,128
128,51,70,573516,0,129
129,38,58,573870,0,130
130,41,58,575082,0,131
131,63,79,575124,0,132
132,41,63,575132,0,133
133,67,59,575398,0,134
134,41,63,575774,0,135
135,41,58,576141,0,136
136,44,84,576705,0,137
137,19,85,577245,0,138
138,19,72,577333,0,139
139,3,84,578081,0,140
140,19,8,578235,0,141
141,19,58,578310,0,142
142,84,86,578872,0,143
143,83,58,579042,0,144
144,36,60,579071,0,145
145,86,48,579270,0,146
146,87,63,579548,0,147
147,36,88,579728,0,148
148,87,8,579989,0,149
149,36,89,580422,0,150
150,90,56,580441,0,151
151,36,90,580498,0,152
152,36,84,580557,0,153
153,91,92,580614,0,154
154,36,93,580799,0,155
155,91,92,580864,0,156
156,36,90,580880,0,157
157,91,92,581020,0,158
158,36,60,581240,0,159
159,36,84,581731,0,160
160,51,58,581851,0,161
161,94,84,581943,0,162
162,36,84,582309,0,163
163,94,84,582328,0,164
164,94,84,582703,0,165
165,69,84,582803,0,166
166,69,95,582834,0,167
167,87,8,583099,0,168
168,3,84,583488,0,169
169,3,84,583735,0,170
170,48,86,584256,0,171
171,84,8,585326,0,172
172,91,81,586261,0,173
173,96,88,586434,0,174
174,8,84,587412,0,175
175,84,8,588329,0,176
176,91,47,588612,0,177
177,97,98,589261,0,178
178,98,97,589415,0,179
179,97,98,589450,0,180
180,48,97,589559,0,181
181,99,8,589871,0,182
182,99,8,589885,0,183
183,97,48,590015,0,184
184,100,101,590232,0,185
185,102,97,590328,0,186
186,97,48,590639,0,187
187,97,102,590650,0,188
188,101,100,591012,0,189
189,48,58,591073,0,190
190,97,48,591102,0,191
191,103,72,594123,0,192
192,103,58,594484,0,193
193,104,59,596627,0,194
194,104,59,596636,0,195
195,103,72,599147,0,196
196,105,56,612555,0,197
197,106,72,612722,0,198
198,105,61,613005,0,199
199,105,8,613090,0,200
200,105,33,613542,0,201
201,105,107,613856,0,202
202,105,81,614289,0,203
203,44,102,615110,0,204
204,36,105,618356,0,205
205,36,104,618934,0,206
206,34,108,619218,0,207
207,34,109,619782,0,208
208,36,110,619979,0,209
209,111,112,620592,0,210
210,34,58,621500,0,211
211,36,113,621755,0,212
212,36,109,621779,0,213
213,79,109,622546,0,214
214,114,105,622715,0,215
215,101,115,622812,0,216
216,56,90,623614,0,217
217,56,105,623648,0,218
218,56,68,623690,0,219
219,29,58,625009,0,220
220,87,58,625249,0,221
221,44,116,625745,0,222
222,44,117,626319,0,223
223,44,117,626351,0,224
224,44,79,626878,0,225
225,80,58,627298,0,226
226,96,32,628469,0,227
227,118,100,629391,0,228
228,119,120,629727,0,229
229,119,120,629743,0,230
230,120,119,629814,0,231
231,120,75,629889,0,232
232,119,120,629988,0,233
233,120,119,630011,0,234
234,119,58,630087,0,235
235,74,73,630440,0,236
236,118,120,631035,0,237
237,121,108,631525,0,238
238,72,106,631749,0,239
239,44,92,632570,0,240
240,26,122,632985,0,241
241,44,79,634467,0,242
242,1,123,635261,0,243
243,96,124,636485,0,244
244,125,126,636571,0,245
245,36,104,637703,0,246
246,44,79,639257,0,247
247,44,79,639899,0,248
248,36,124,640037,0,249
249,36,127,640667,0,250
250,36,128,640718,0,251
251,44,79,640951,0,252
252,44,129,641065,0,253
253,44,116,641228,0,254
254,9,120,641371,0,255
255,79,58,641770,0,256
256,36,109,642885,0,257
257,124,109,643013,0,258
258,36,109,643185,0,259
259,124,61,643261,0,260
260,124,72,643463,0,261
261,36,109,643966,0,262
262,36,112,644307,0,263
263,124,85,644550,0,264
264,85,124,644664,0,265
265,32,130,644730,0,266
266,36,112,644764,0,267
267,124,85,644807,0,268
268,72,124,645695,0,269
269,124,8,645952,0,270
270,131,30,646280,0,271
271,99,126,647064,0,272
272,103,72,647443,0,273
273,103,72,647804,0,274
274,103,63,648081,0,275
275,103,117,648178,0,276
276,103,72,648562,0,277
277,131,30,650535,0,278
278,69,95,651225,0,279
279,69,124,651243,0,280
280,69,79,651254,0,281
281,132,30,651273,0,282
282,36,99,651606,0,283
283,36,133,651651,0,284
284,36,60,651693,0,285
285,36,134,651895,0,286
286,36,133,651968,0,287
287,36,81,652121,0,288
288,103,72,652398,0,289
289,103,135,652619,0,290
290,133,135,652703,0,291
291,135,133,652744,0,292
292,36,133,652754,0,293
293,103,135,652766,0,294
294,19,52,652989,0,295
295,133,135,652997,0,296
296,103,135,653065,0,297
297,103,135,653113,0,298
298,135,133,653119,0,299
299,133,135,653183,0,300
300,36,133,653197,0,301
301,36,133,653651,0,302
302,36,133,654448,0,303
303,9,109,656511,0,304
304,9,109,657505,0,305
305,62,136,658503,0,306
306,96,32,659051,0,307
307,137,138,660096,0,308
308,96,137,660295,0,309
309,19,120,660498,0,310
310,44,90,660509,0,311
311,96,137,660523,0,312
312,137,138,660532,0,313
313,19,139,660942,0,314
314,44,60,661493,0,315
315,44,88,661585,0,316
316,44,102,661656,0,317
317,44,90,661709,0,318
318,19,111,661718,0,319
319,44,90,661924,0,320
320,9,32,661948,0,321
321,44,90,662097,0,322
322,44,90,662268,0,323
323,103,63,662481,0,324
324,103,72,662528,0,325
325,38,86,662579,0,326
326,140,105,662616,0,327
327,103,72,663106,0,328
328,38,86,663599,0,329
329,38,101,663805,0,330
330,38,101,664560,0,331
331,38,101,664602,0,332
332,103,101,664697,0,333
333,38,101,664807,0,334
334,103,101,664814,0,335
335,38,61,665772,0,336
336,75,120,665776,0,337
337,38,81,665883,0,338
338,44,141,666025,0,339
339,44,141,666121,0,340
340,44,74,666596,0,341
341,44,127,666723,0,342
342,124,135,668886,0,343
343,140,124,669251,0,344
344,19,82,669343,0,345
345,19,82,669638,0,346
346,19,82,669762,0,347
347,105,56,669965,0,348
348,19,82,670023,0,349
349,124,135,670090,0,350
350,105,58,670154,0,351
351,105,63,670168,0,352
352,19,82,670171,0,353
353,105,61,670250,0,354
354,105,135,670434,0,355
355,124,135,670752,0,356
356,71,72,671653,0,357
357,135,124,671885,0,358
358,9,32,672020,0,359
359,63,105,672046,0,360
360,72,71,672281,0,361
361,142,58,672383,0,362
362,124,135,672469,0,363
363,124,135,672658,0,364
364,143,32,672811,0,365
365,144,99,673120,0,366
366,144,105,673261,0,367
367,144,121,673395,0,368
368,9,109,673499,0,369
369,103,109,674722,0,370
370,103,63,674904,0,371
371,103,63,675615,0,372
372,103,109,675753,0,373
373,48,81,675756,0,374
374,95,81,675938,0,375
375,145,48,675980,0,376
376,95,63,675990,0,377
377,145,95,676120,0,378
378,95,109,676124,0,379
379,145,95,676252,0,380
380,145,48,676388,0,381
381,145,95,676550,0,382
382,145,48,676753,0,383
383,145,48,676895,0,384
384,95,109,676966,0,385
385,96,48,677178,0,386
386,95,109,677311,0,387
387,96,95,677579,0,388
388,96,95,677747,0,389
389,96,48,677797,0,390
390,96,95,677966,0,391
391,105,144,679193,0,392
392,105,63,679207,0,393
393,6,146,680075,0,394
394,44,60,700642,0,395
395,44,105,700684,0,396
396,63,95,701107,0,397
397,44,32,703149,0,398
398,114,105,704520,0,399
399,34,109,704698,0,400
400,36,105,704854,0,401
401,36,109,704932,0,402
402,36,147,705424,0,403
403,44,32,706032,0,404
404,19,120,706998,0,405
405,9,136,708090,0,406
406,9,148,708110,0,407
407,9,149,708168,0,408
408,9,150,708215,0,409
409,9,151,708301,0,410
410,9,152,708393,0,411
411,9,153,708413,0,412
412,9,58,708430,0,413
413,9,58,708439,0,414
414,9,135,708462,0,415
415,9,22,708483,0,416
416,9,8,708581,0,417
417,9,154,708676,0,418
418,9,121,708796,0,419
419,1,135,709432,0,420
420,3,155,709676,0,421
421,36,109,709809,0,422
422,3,155,709869,0,423
423,30,132,710323,0,424
424,3,58,710840,0,425
425,68,56,712604,0,426
426,36,156,715709,0,427
427,131,30,716573,0,428
428,101,51,717555,0,429
429,101,34,717784,0,430
430,9,8,718007,0,431
431,36,73,719050,0,432
432,96,95,719720,0,433
433,9,76,720865,0,434
434,9,8,721094,0,435
435,9,157,721937,0,436
436,19,158,722559,0,437
437,9,58,722713,0,438
438,9,32,723045,0,439
439,44,129,727297,0,440
440,105,135,727318,0,441
441,105,129,727394,0,442
442,44,129,727562,0,443
443,44,129,727615,0,444
444,44,129,727655,0,445
445,51,101,727768,0,446
446,1,159,727804,0,447
447,44,74,729301,0,448
448,44,129,729475,0,449
449,160,72,731538,0,450
450,129,8,732387,0,451
451,36,147,732681,0,452
452,36,109,732750,0,453
453,36,105,732837,0,454
454,36,129,732868,0,455
455,9,8,732903,0,456
456,34,101,736659,0,457
457,161,162,737773,0,458
458,163,72,739165,0,459
459,32,164,740144,0,460
460,58,8,740891,0,461
461,32,58,741062,0,462
462,41,76,741403,0,463
463,41,120,741475,0,464
464,41,132,741511,0,465
465,41,165,741549,0,466
466,41,166,741584,0,467
467,41,157,741603,0,468
468,41,167,741649,0,469
469,41,168,741671,0,470
470,41,169,741687,0,471
471,41,134,741717,0,472
472,56,68,741807,0,473
473,41,56,741832,0,474
474,56,154,741860,0,475
475,56,170,741935,0,476
476,56,171,741953,0,477
477,56,172,741965,0,478
478,103,101,742299,0,479
479,51,157,742404,0,480
480,32,130,742547,0,481
481,8,58,743181,0,482
482,8,164,743274,0,483
483,103,63,744021,0,484
484,103,173,744190,0,485
485,67,154,744580,0,486
486,32,26,745080,0,487
487,96,163,746400,0,488
488,9,58,746875,0,489
489,41,56,746919,0,490
490,9,20,747141,0,491
491,9,165,747182,0,492
492,9,61,747343,0,493
493,103,109,748171,0,494
494,32,155,748292,0,495
495,32,109,748356,0,496
496,32,174,748433,0,497
497,175,50,748460,0,498
498,103,85,748941,0,499
499,124,109,749032,0,500
500,164,8,749211,0,501
501,103,63,749675,0,502
502,38,128,749926,0,503
503,103,63,749949,0,504
504,103,63,750008,0,505
505,19,109,750056,0,506
506,103,63,750116,0,507
507,103,63,750192,0,508
508,161,164,750205,0,509
509,161,164,750207,0,510
510,38,109,750255,0,511
511,41,63,750287,0,512
512,103,63,750375,0,513
513,176,63,750395,0,514
514,41,63,750397,0,515
515,176,63,750489,0,516
516,41,63,750512,0,517
517,161,63,750544,0,518
518,103,63,750550,0,519
519,41,63,750555,0,520
520,176,63,750601,0,521
521,41,63,750604,0,522
522,161,63,750614,0,523
523,103,63,750629,0,524
524,32,164,750631,0,525
525,176,63,750652,0,526
526,41,63,750684,0,527
527,176,63,750742,0,528
528,41,63,750749,0,529
529,161,63,750758,0,530
530,103,63,750784,0,531
531,41,177,750809,0,532
532,41,177,750813,0,533
533,164,178,750835,0,534
534,164,177,750852,0,535
535,32,175,750864,0,536
536,32,177,750880,0,537
537,176,63,750905,0,538
538,164,179,750907,0,539
539,41,63,750945,0,540
540,32,179,750959,0,541
541,41,63,750978,0,542
542,41,63,751075,0,543
543,41,63,751098,0,544
544,41,63,751182,0,545
545,161,63,751209,0,546
546,96,164,751323,0,547
547,41,63,751437,0,548
548,41,177,751494,0,549
549,41,177,751534,0,550
550,41,63,751565,0,551
551,41,177,751590,0,552
552,41,63,751653,0,553
553,161,63,751664,0,554
554,32,177,751668,0,555
555,41,177,751678,0,556
556,32,177,751759,0,557
557,41,177,751763,0,558
558,41,63,751795,0,559
559,41,180,751810,0,560
560,32,177,751893,0,561
561,41,63,751910,0,562
562,161,63,751925,0,563
563,41,177,751929,0,564
564,41,180,751951,0,565
565,177,32,752072,0,566
566,41,63,752107,0,567
567,41,177,752124,0,568
568,180,177,752133,0,569
569,180,177,752140,0,570
570,180,181,752209,0,571
571,41,177,752213,0,572
572,180,182,752263,0,573
573,41,180,752346,0,574
574,41,90,752366,0,575
575,41,63,752396,0,576
576,32,177,752422,0,577
577,41,180,752529,0,578
578,41,63,752552,0,579
579,41,177,752565,0,580
580,177,180,752597,0,581
581,177,180,752661,0,582
582,177,32,752709,0,583
583,41,180,752739,0,584
584,41,177,752794,0,585
585,41,180,752799,0,586
586,32,177,752820,0,587
587,41,63,752826,0,588
588,183,184,752920,0,589
589,41,63,753109,0,590
590,177,32,753153,0,591
591,32,177,753213,0,592
592,41,177,753260,0,593
593,177,32,753283,0,594
594,175,32,753322,0,595
595,32,177,753338,0,596
596,32,175,753368,0,597
597,41,168,753439,0,598
598,175,32,753565,0,599
599,41,168,753676,0,600
600,41,177,753684,0,601
601,177,32,753696,0,602
602,63,174,753718,0,603
603,174,63,753736,0,604
604,63,174,753746,0,605
605,174,63,753775,0,606
606,41,168,753786,0,607
607,41,177,753810,0,608
608,32,175,753829,0,609
609,63,174,753841,0,610
610,174,63,753872,0,611
611,41,168,753877,0,612
612,9,32,753899,0,613
613,41,177,753912,0,614
614,63,174,753915,0,615
615,32,177,753922,0,616
616,175,32,753956,0,617
617,32,175,754050,0,618
618,41,168,754084,0,619
619,41,177,754113,0,620
620,41,168,754123,0,621
621,41,168,754131,0,622
622,63,155,754176,0,623
623,174,63,754188,0,624
624,41,177,754207,0,625
625,177,32,754215,0,626
626,41,168,754222,0,627
627,175,32,754233,0,628
628,63,174,754247,0,629
629,174,63,754311,0,630
630,63,174,754332,0,631
631,41,168,754380,0,632
632,41,177,754402,0,633
633,41,177,754435,0,634
634,32,175,754456,0,635
635,41,177,754457,0,636
636,175,32,754649,0,637
637,175,32,754670,0,638
638,32,175,754749,0,639
639,41,177,754827,0,640
640,41,168,754840,0,641
641,174,63,754844,0,642
642,63,174,754903,0,643
643,41,168,754938,0,644
644,41,168,755039,0,645
645,41,177,755067,0,646
646,41,168,755092,0,647
647,41,177,755115,0,648
648,174,63,755142,0,649
649,63,174,755160,0,650
650,41,168,755452,0,651
651,41,177,755505,0,652
652,41,177,755787,0,653
653,41,177,755819,0,654
654,41,177,756165,0,655
655,9,32,756178,0,656
656,41,177,756180,0,657
657,41,185,756190,0,658
658,41,168,756204,0,659
659,185,147,756365,0,660
660,185,32,756532,0,661
661,41,185,756599,0,662
662,41,177,756616,0,663
663,32,185,756756,0,664
664,186,185,756765,0,665
665,140,185,756773,0,666
666,155,32,756774,0,667
667,32,155,756797,0,668
668,185,186,756830,0,669
669,155,63,756888,0,670
670,41,177,756997,0,671
671,103,177,757048,0,672
672,187,186,757192,0,673
673,185,97,757281,0,674
674,103,97,757316,0,675
675,187,186,757334,0,676
676,41,185,757424,0,677
677,41,185,757446,0,678
678,41,186,757487,0,679
679,41,185,757495,0,680
680,41,186,757568,0,681
